id,cancellation_policy,host_has_profile_pic,host_identity_verified,host_response_rate,host_since
11768316,flexible,t,f,100%,3/10/13
16798447,moderate,t,t,100%,1/10/16
16101136,moderate,t,f,100%,6/28/17
17071836,moderate,t,t,100%,8/3/15
4016008,strict,t,f,100%,5/6/17
8967332,flexible,t,t,0%,11/12/14
15804772,moderate,t,f,100%,9/26/14
1155965,moderate,t,t,100%,4/18/12
2089058,flexible,t,f,0%,3/16/16
4596007,strict,t,f,100%,12/21/16
13707813,strict,t,t,97%,6/11/14
13264910,moderate,t,t,100%,9/14/14
5697371,strict,t,f,100%,4/10/17
14800184,moderate,t,t,100%,12/9/11
410762,strict,t,t,0%,3/24/13
8163336,strict,t,f,100%,7/26/10
9844439,flexible,t,t,0%,8/9/13
16512424,strict,t,f,100%,9/29/16
17921374,flexible,t,t,100%,1/19/12
18645174,flexible,t,t,0%,5/15/12
3200488,moderate,t,t,0%,7/2/10
2000722,strict,t,f,100%,11/7/13
20707606,flexible,t,f,82%,3/22/13
6120099,flexible,t,t,0%,9/17/12
10020844,flexible,t,f,100%,1/14/17
1847096,strict,t,t,90%,11/8/14
14593443,flexible,t,f,0%,9/24/14
15274180,strict,t,t,100%,12/21/14
17624280,strict,t,f,100%,2/8/12
6645634,flexible,t,t,100%,5/28/14
15433822,moderate,t,t,100%,9/30/12
4951151,moderate,t,t,100%,4/21/14
18120849,flexible,t,t,0%,10/6/13
4720091,flexible,t,f,0%,12/27/15
15497573,flexible,t,t,0%,5/21/14
3375448,moderate,t,t,80%,1/17/12
17173982,strict,t,f,100%,12/26/16
4205224,flexible,t,f,0%,3/18/16
17719455,strict,t,t,95%,7/22/09
7603341,strict,t,f,100%,9/27/11
14789270,moderate,t,f,100%,6/23/17
14783049,moderate,t,t,0%,7/9/12
5055704,flexible,t,f,0%,11/3/15
18568009,flexible,t,t,0%,7/1/15
9033255,flexible,t,f,100%,11/22/15
1837190,strict,t,t,100%,9/18/11
20999267,strict,t,t,79%,7/25/13
12863815,flexible,t,t,0%,8/2/15
17791006,moderate,t,t,100%,7/16/14
20425394,strict,t,t,100%,6/13/15
10391569,moderate,t,f,100%,8/15/17
11069291,strict,t,t,100%,6/15/15
19408774,strict,t,t,100%,5/13/13
13580835,strict,t,f,100%,12/19/15
10231981,moderate,t,t,100%,3/30/15
9735841,moderate,t,t,0%,4/23/14
9148138,strict,t,f,100%,4/25/17
2618288,flexible,t,t,0%,11/10/12
10861804,flexible,t,f,90%,3/5/15
6289761,flexible,t,f,90%,7/3/13
20870541,strict,t,t,100%,2/10/15
19333327,strict,t,t,100%,6/16/15
17920728,moderate,t,t,100%,4/7/15
7274483,flexible,t,t,0%,9/6/16
8489712,moderate,t,t,100%,12/25/12
14826030,moderate,t,f,100%,6/5/16
4191357,flexible,t,f,0%,9/19/14
16738220,strict,t,t,100%,7/17/13
3890484,flexible,t,f,100%,8/4/15
5195184,strict,t,t,99%,11/14/16
16755909,strict,t,t,100%,7/29/14
15657579,moderate,t,f,100%,5/20/16
17141159,flexible,t,t,0%,8/25/15
15343336,strict,t,t,100%,3/5/12
13529652,strict,t,t,100%,5/10/15
5019373,moderate,t,t,83%,2/15/13
3704589,strict,t,t,90%,5/29/12
14807208,strict,t,t,100%,11/7/14
9091710,moderate,t,t,100%,1/28/14
8848754,strict,t,t,0%,8/27/14
7072363,strict,t,f,100%,11/28/10
12418668,moderate,t,t,100%,8/11/11
6922505,flexible,t,f,100%,3/21/16
17695060,moderate,t,t,100%,11/18/11
2268203,strict,t,f,0%,2/25/13
4440611,strict,t,t,100%,2/4/17
19175586,flexible,t,t,0%,11/17/14
4663804,flexible,t,f,100%,9/14/16
15085230,flexible,t,t,0%,6/5/14
18077983,strict,t,t,0%,2/24/13
2164135,strict,t,t,100%,9/21/11
18310642,strict,t,t,93%,4/1/13
4296291,moderate,t,t,100%,10/7/14
8702166,strict,t,f,0%,4/13/15
15342350,strict,t,t,100%,1/7/14
17448734,strict,t,t,98%,3/30/15
7363109,flexible,t,t,0%,4/17/14
9179751,flexible,t,t,0%,1/30/15
13278590,strict,t,t,100%,1/7/15
18275379,flexible,t,f,100%,6/27/17
18888098,strict,t,t,100%,12/1/10
13642260,strict,t,f,99%,9/10/14
7349969,moderate,t,t,100%,8/24/14
16870786,moderate,t,t,98%,2/28/14
14388899,strict,t,f,0%,10/5/16
763912,moderate,t,t,0%,12/13/12
17295823,moderate,t,t,100%,7/25/13
17847345,moderate,t,t,100%,2/27/13
13562498,flexible,t,t,0%,5/8/15
14181476,strict,t,t,100%,10/5/16
707736,moderate,t,t,100%,2/17/10
4631448,strict,t,t,30%,6/2/14
8786314,strict,t,f,100%,9/26/13
16259155,flexible,t,t,0%,4/26/17
8949372,flexible,t,f,100%,2/1/17
12147973,flexible,t,t,100%,4/7/13
18584924,strict,t,f,100%,12/7/11
18231802,flexible,t,f,0%,4/26/16
13814281,flexible,t,f,0%,1/1/17
16773355,strict,t,f,100%,4/14/16
8743712,flexible,t,f,100%,11/20/16
20149972,moderate,t,t,0%,3/6/13
12084861,strict,t,f,100%,12/2/13
5280163,flexible,t,t,100%,11/29/15
17962474,strict,t,f,100%,3/15/13
19871726,flexible,t,t,100%,10/9/15
1661684,flexible,t,f,100%,10/18/16
15360319,moderate,t,f,0%,10/16/14
17335062,strict,t,t,100%,12/29/11
1324087,strict,t,t,100%,12/7/15
18393805,flexible,t,t,100%,3/31/15
835992,flexible,t,f,100%,3/30/16
16735801,flexible,t,f,100%,7/1/17
1822436,moderate,t,t,100%,9/2/13
4808505,flexible,t,f,100%,5/6/16
9797510,strict,t,t,0%,4/11/11
19134330,strict,t,f,100%,1/3/15
17808966,flexible,t,f,70%,10/23/15
258397,strict,t,t,90%,2/11/14
4789751,moderate,t,t,100%,9/7/12
11755010,flexible,t,t,0%,2/8/11
4456555,moderate,t,t,100%,4/18/13
8972353,strict,t,t,0%,1/7/14
21037246,flexible,t,t,83%,3/14/11
17348379,strict,t,t,100%,9/15/16
9346869,moderate,t,f,100%,9/2/14
5573050,flexible,t,t,100%,5/1/14
2716032,strict,t,t,100%,8/3/15
6993502,flexible,t,t,100%,2/10/14
17111385,strict,t,f,100%,8/12/16
13033732,strict,t,t,100%,3/23/16
18999839,flexible,t,t,0%,9/10/14
17150899,flexible,t,f,100%,2/18/17
5506438,flexible,t,t,0%,12/21/11
4395112,flexible,t,t,100%,6/15/13
13740793,strict,t,f,100%,5/18/13
9139058,moderate,t,t,100%,10/14/15
19763012,flexible,t,f,100%,1/2/17
14773074,flexible,t,f,0%,6/6/16
7454426,flexible,t,f,100%,9/8/15
15564179,strict,t,t,100%,4/16/12
2365792,strict,t,t,63%,1/21/13
16995266,flexible,t,t,100%,12/21/09
10578419,moderate,t,t,100%,3/18/14
16776462,strict,t,t,100%,7/29/14
10592815,moderate,t,f,100%,5/27/15
15663970,flexible,t,t,0%,12/10/13
15835844,moderate,t,t,100%,2/20/14
4709507,moderate,t,t,100%,12/28/14
15618546,strict,t,t,100%,9/14/10
8552616,flexible,t,f,100%,2/5/17
19096176,moderate,t,t,0%,7/22/14
19752474,strict,t,f,100%,12/4/16
9506861,strict,t,f,0%,9/13/16
13442656,flexible,t,t,100%,9/8/11
18885912,flexible,t,t,100%,8/1/15
13031826,strict,t,t,100%,10/15/10
666636,strict,t,f,100%,7/29/16
6762315,moderate,t,f,100%,8/14/12
17895468,strict,t,f,100%,6/12/13
18253249,strict,t,f,60%,3/16/15
13437584,strict,t,t,100%,10/12/12
17752035,strict,t,f,100%,8/10/16
8614388,moderate,t,t,100%,5/15/17
13630666,strict,t,t,0%,10/6/10
16338071,moderate,t,t,100%,6/7/12
4089954,flexible,t,f,0%,12/12/16
506659,strict,t,t,100%,9/23/12
13170847,strict,t,f,94%,5/14/16
16276572,moderate,t,t,100%,2/4/11
4081570,flexible,t,t,89%,5/11/15
3925426,moderate,t,t,96%,3/1/12
149210,flexible,t,f,67%,4/22/11
14390237,moderate,t,t,0%,4/17/12
11295457,moderate,t,f,100%,2/25/17
14350747,strict,t,t,67%,7/9/12
13676184,flexible,t,f,0%,10/28/15
4278720,flexible,t,f,100%,2/17/14
15007995,strict,t,t,50%,9/10/11
16662011,flexible,t,t,0%,12/22/16
591220,moderate,t,t,100%,6/28/12
5294453,flexible,t,f,50%,5/13/16
9013631,flexible,t,t,0%,7/19/11
19592478,strict,t,t,100%,5/14/11
18444127,flexible,t,f,100%,3/21/13
6329731,strict,t,t,0%,11/25/15
12138787,strict,t,t,100%,1/13/14
10687050,moderate,t,t,100%,8/10/15
15797728,strict,t,t,100%,7/10/13
7921380,flexible,t,t,90%,6/4/12
11821598,flexible,t,t,100%,11/2/15
2426471,strict,t,t,90%,10/26/12
2661063,flexible,t,f,100%,9/29/14
19907826,flexible,t,f,0%,10/25/14
3229255,strict,t,f,100%,10/25/16
2524166,strict,t,f,100%,7/5/15
4639402,strict,t,t,100%,2/19/13
14821940,strict,t,f,100%,10/7/14
18507811,flexible,t,t,0%,4/27/14
13114257,flexible,t,t,80%,4/18/16
15471568,strict,t,t,100%,5/11/12
15700520,moderate,t,f,100%,12/7/12
20513746,flexible,t,t,100%,3/5/15
17751338,flexible,t,f,0%,7/1/14
16067657,flexible,t,t,100%,12/28/15
17189510,flexible,t,f,97%,6/21/16
16028674,strict,t,t,100%,10/21/15
306990,strict,t,t,100%,4/3/15
8438775,strict,t,f,100%,7/16/16
8135784,strict,t,f,100%,8/5/17
671544,flexible,t,f,0%,12/21/16
14826664,moderate,t,t,0%,4/5/14
3031768,strict,t,t,0%,7/8/14
20845800,strict,t,t,100%,5/29/12
16194781,flexible,t,f,100%,6/6/13
8170917,moderate,t,t,100%,3/30/14
15801386,flexible,t,t,83%,9/25/13
5202631,flexible,t,t,0%,10/15/15
15821197,strict,t,t,100%,12/30/11
12653801,moderate,t,t,100%,1/11/11
15198602,strict,t,t,100%,8/23/16
7460185,strict,t,f,0%,12/7/14
17902126,flexible,t,t,0%,6/21/13
15202893,flexible,t,f,78%,6/24/12
18875512,flexible,t,t,86%,7/5/15
13715977,flexible,t,f,0%,12/27/13
15246714,flexible,t,t,80%,1/29/17
19594617,moderate,t,t,100%,11/3/13
15988387,flexible,t,f,0%,3/17/15
15240065,strict,t,t,100%,9/4/12
18560515,moderate,t,t,100%,11/19/11
7809701,flexible,t,f,0%,8/9/14
17850620,moderate,t,f,0%,10/1/17
2660412,strict,t,t,92%,10/18/12
16504513,strict,t,t,100%,11/28/11
16974789,strict,t,t,100%,3/10/10
17498060,strict,t,t,0%,1/30/12
4037406,flexible,t,f,0%,4/6/16
990668,flexible,t,t,0%,6/17/14
1217096,strict,t,t,100%,1/2/10
10946838,flexible,t,f,0%,11/15/13
3522244,strict,t,f,93%,1/12/17
20364240,flexible,t,f,0%,1/23/17
5643356,strict,t,t,100%,1/27/12
14709217,flexible,t,t,100%,10/24/16
3821508,flexible,t,t,100%,5/11/16
106906,flexible,t,t,100%,9/22/15
3466620,flexible,t,f,0%,11/12/13
5659180,flexible,t,t,0%,11/9/13
6670064,strict,t,t,100%,10/10/14
10170471,moderate,t,t,87%,3/22/15
13689374,moderate,t,f,100%,12/8/15
3826514,moderate,t,t,100%,12/28/13
16194421,flexible,t,f,0%,12/7/15
6424392,strict,t,f,94%,5/14/16
1441443,strict,t,t,100%,3/31/15
4694625,flexible,t,t,0%,1/20/16
19524083,flexible,t,t,100%,4/11/14
16944112,moderate,t,t,100%,11/12/10
19289583,moderate,t,t,100%,10/31/16
10137814,strict,t,t,100%,6/21/12
16452808,strict,t,t,100%,6/17/12
16489079,flexible,t,t,0%,9/13/15
15808176,strict,t,t,0%,5/15/14
13683769,flexible,t,t,100%,8/28/13
13901683,moderate,t,t,100%,8/17/16
4077460,strict,t,f,100%,7/12/16
20738991,moderate,t,t,0%,12/8/14
21010735,flexible,t,f,100%,9/29/16
12851389,flexible,t,t,100%,2/19/14
16686437,strict,t,t,100%,5/23/13
12860152,strict,t,t,100%,7/16/14
19912332,strict,t,t,100%,2/16/12
12161990,flexible,t,t,100%,8/6/12
72190,moderate,t,t,0%,1/25/16
13893264,flexible,t,t,100%,7/23/15
4350361,moderate,t,t,90%,5/27/15
12007456,strict,t,t,0%,9/3/12
17812919,moderate,t,f,100%,9/25/15
13657857,moderate,t,t,0%,3/15/13
8338934,strict,t,f,0%,8/15/13
8323915,flexible,t,t,0%,6/30/15
20190343,moderate,t,t,100%,5/21/13
15864590,strict,t,t,100%,6/21/13
5344850,moderate,t,f,100%,7/1/17
9186305,flexible,t,t,0%,10/4/09
19122424,moderate,t,t,100%,7/18/16
15909444,flexible,t,t,0%,8/24/13
9021705,moderate,t,t,0%,3/29/13
7647268,strict,t,t,100%,12/20/11
8485642,strict,t,f,100%,3/4/17
18734225,strict,t,t,100%,8/27/12
21065293,strict,t,f,100%,8/19/14
15990468,flexible,t,t,0%,10/8/13
16812429,moderate,t,t,0%,1/21/15
4249131,strict,t,t,90%,8/20/14
4550557,strict,t,f,100%,6/8/14
17007439,strict,t,t,100%,2/10/10
11084417,flexible,t,f,0%,10/3/11
488083,strict,t,t,100%,2/14/14
5697556,strict,t,t,100%,1/13/16
16497519,strict,t,t,100%,8/25/14
12051867,strict,t,t,98%,2/9/15
18613994,moderate,t,f,100%,6/30/12
14600945,strict,t,t,100%,12/4/13
6478214,strict,t,t,100%,6/28/12
228925,flexible,t,f,100%,3/1/16
13656292,flexible,t,f,90%,7/29/12
17703125,flexible,t,t,0%,10/22/15
9950923,moderate,t,t,100%,7/24/16
8116914,moderate,t,t,100%,7/11/14
15701450,strict,t,t,92%,2/7/12
15240927,moderate,t,t,80%,7/16/13
19764736,strict,t,f,0%,12/3/14
14488058,strict,t,t,100%,12/4/12
13081594,moderate,t,t,87%,7/14/13
17991480,moderate,t,t,100%,4/18/12
8719472,flexible,t,f,100%,12/21/16
7714658,moderate,t,t,64%,9/2/15
5511917,flexible,t,f,100%,9/15/16
19701365,strict,t,t,100%,3/7/15
13241517,flexible,t,t,89%,5/11/15
1243883,strict,t,t,67%,5/22/12
1095106,strict,t,f,0%,8/10/15
12696236,flexible,t,t,100%,5/6/15
842147,strict,t,t,100%,3/31/14
16322853,strict,t,t,100%,9/6/14
15448502,flexible,t,t,93%,8/16/13
15373919,strict,t,t,100%,11/24/15
2721610,moderate,t,f,100%,3/7/17
20601598,flexible,t,t,0%,1/6/14
11156910,flexible,t,t,50%,4/6/15
13162066,flexible,t,t,100%,11/8/12
12824504,strict,t,t,90%,10/8/13
6279160,strict,t,t,100%,12/30/13
15360787,strict,t,t,100%,10/22/13
18163870,strict,t,t,100%,3/25/12
1267906,flexible,t,f,0%,3/28/16
2533733,moderate,t,t,100%,5/7/12
20933234,moderate,t,t,100%,1/24/17
17804437,moderate,t,f,100%,11/23/12
4351875,strict,t,f,100%,6/21/16
173072,strict,t,f,100%,5/17/12
19803775,flexible,t,f,0%,1/30/16
3181719,strict,t,t,100%,5/12/16
12686241,strict,t,f,100%,11/15/16
19839113,super_strict_30,t,t,100%,4/3/11
4922023,strict,t,t,100%,12/16/09
16552770,strict,t,t,100%,2/5/12
5174955,flexible,t,f,0%,10/26/15
13591923,strict,t,t,100%,7/17/16
592744,strict,t,t,100%,10/15/16
20897950,strict,t,t,100%,12/12/08
526970,flexible,t,f,100%,6/18/14
4811626,flexible,t,f,0%,8/5/13
17403646,strict,t,t,100%,12/4/15
13774019,strict,t,t,0%,6/20/15
20817430,flexible,t,f,0%,10/2/15
19926959,strict,null,null,0%,null
13909131,flexible,t,t,0%,9/29/11
2685987,moderate,t,t,100%,12/5/15
15772120,moderate,t,t,100%,6/29/11
12582732,strict,t,t,0%,9/25/12
11059197,strict,t,t,0%,1/7/14
15677515,strict,t,t,100%,1/2/14
20419339,flexible,t,f,100%,5/10/11
14049790,strict,t,t,100%,4/30/14
16449570,strict,t,f,88%,12/23/15
799701,strict,t,t,0%,10/13/15
13310605,moderate,t,t,100%,11/10/14
19155632,flexible,t,f,0%,1/28/16
15944313,strict,t,t,100%,4/19/11
16547724,moderate,t,f,0%,9/20/14
18635794,strict,t,t,100%,5/1/12
18228406,flexible,t,t,100%,11/3/16
15355243,moderate,t,t,100%,1/30/13
15205271,strict,t,f,0%,11/27/15
4550494,moderate,t,f,100%,12/24/15
14845574,strict,t,t,100%,8/28/16
385190,flexible,t,t,100%,8/29/11
1020928,moderate,t,t,100%,8/6/14
4680566,flexible,t,t,100%,6/27/14
16772675,flexible,t,f,0%,11/22/14
16071326,moderate,t,f,0%,6/1/15
4965152,moderate,t,t,100%,3/15/13
14967360,strict,t,t,100%,7/30/11
14996188,flexible,t,f,100%,4/1/15
17009854,flexible,t,f,0%,2/1/14
14614688,moderate,t,t,100%,1/20/14
19441240,strict,t,t,100%,9/28/15
14629085,strict,t,t,50%,1/24/17
19087867,moderate,t,t,100%,4/8/13
17029043,moderate,t,t,100%,12/10/15
13140940,moderate,t,t,60%,2/24/13
3241929,flexible,t,t,100%,4/13/16
16843986,strict,t,t,100%,5/15/13
5521313,strict,t,f,100%,8/12/13
6823578,strict,t,t,96%,9/6/11
6452279,strict,t,t,0%,8/10/13
4405982,strict,t,t,0%,5/1/16
10831199,flexible,t,t,68%,2/8/15
19943797,flexible,t,t,100%,12/30/13
19891482,strict,t,f,100%,11/7/15
15257355,strict,t,f,100%,11/5/15
15814333,flexible,t,f,0%,9/10/16
4523435,flexible,t,t,0%,4/17/15
6836647,strict,t,t,100%,5/21/15
8337362,strict,t,t,0%,7/16/15
16977425,moderate,t,t,100%,12/21/11
2509617,moderate,t,t,100%,4/6/14
16339746,strict,t,f,100%,3/14/16
13153856,strict,t,f,100%,8/16/16
9823218,flexible,t,f,100%,7/27/16
4917217,moderate,t,t,100%,6/28/12
15550357,moderate,t,t,0%,9/11/13
17624400,strict,t,f,100%,5/17/12
14091281,moderate,t,t,70%,12/30/14
8907086,moderate,t,t,100%,1/7/14
12367864,flexible,t,t,0%,5/15/14
11637504,flexible,t,t,100%,12/1/15
4625389,moderate,t,t,100%,5/17/16
13493040,strict,t,t,0%,6/22/13
4480958,strict,t,f,100%,6/23/11
9344923,flexible,t,f,100%,10/8/16
6389932,moderate,t,t,100%,2/7/13
272800,strict,t,t,100%,10/3/15
4301665,strict,t,t,100%,10/10/14
6249334,flexible,t,f,0%,3/17/16
15181062,flexible,t,t,100%,1/28/15
3488353,moderate,t,t,90%,6/18/16
6378613,moderate,t,t,100%,7/12/13
69266,moderate,t,t,100%,8/8/15
2425222,strict,t,t,100%,6/12/13
1798271,strict,t,f,0%,10/14/14
19555795,strict,t,t,100%,5/17/15
2028272,moderate,t,t,67%,4/9/15
13152923,moderate,t,t,100%,2/1/15
12529306,flexible,t,t,100%,10/1/11
10175417,moderate,t,t,90%,11/10/16
16114474,flexible,t,t,0%,2/15/14
11016623,strict,t,t,100%,2/28/12
6731350,flexible,t,t,100%,9/15/10
15757574,flexible,t,t,0%,9/18/11
16661769,strict,t,t,0%,9/27/13
7965382,strict,t,t,0%,9/19/13
17778366,strict,t,t,100%,5/12/12
4482049,flexible,t,f,0%,5/6/15
1169835,strict,t,t,98%,3/30/15
15844840,moderate,t,t,83%,5/4/13
13157125,flexible,t,t,80%,7/7/15
16425115,moderate,t,t,0%,3/13/12
17668773,moderate,t,t,100%,7/25/13
13732678,strict,t,t,100%,2/26/14
15887436,strict,t,f,100%,7/18/17
2471393,flexible,t,f,80%,10/4/16
8473183,moderate,t,t,100%,4/20/16
1912119,flexible,t,f,67%,8/2/16
20030869,strict,t,f,0%,12/9/16
17075284,strict,t,t,100%,7/3/13
9841955,strict,t,t,100%,6/18/16
5173258,strict,t,t,100%,6/26/12
19906343,strict,t,t,100%,8/6/15
11870905,moderate,t,t,86%,4/23/15
15649021,strict,t,t,100%,2/14/14
5233501,flexible,t,f,0%,2/8/16
11572296,strict,t,t,100%,10/16/11
5789606,strict,t,t,100%,7/30/15
6292699,strict,t,t,100%,11/20/13
8702051,flexible,t,t,0%,7/20/15
16959759,strict,t,t,100%,9/4/14
15125761,moderate,t,f,0%,5/27/14
13591798,moderate,t,f,100%,1/29/14
1226596,moderate,t,t,82%,4/9/14
177666,strict,t,t,0%,6/11/16
1785237,strict,t,f,100%,8/21/16
4905118,strict,t,t,100%,3/30/13
18327939,strict,t,f,90%,7/17/16
13318642,flexible,t,t,0%,7/8/15
15857805,flexible,t,t,0%,7/9/14
14594577,flexible,t,f,0%,1/27/16
709690,moderate,t,t,100%,8/21/15
16466095,strict,t,t,100%,9/17/14
16554438,flexible,t,t,0%,4/24/15
3558850,strict,t,t,100%,5/8/11
14196983,flexible,t,f,100%,6/9/17
376534,flexible,t,t,100%,8/3/15
16977515,strict,t,f,100%,6/30/12
13390103,flexible,t,t,80%,2/11/15
8863005,strict,t,t,100%,10/11/16
9063139,strict,t,t,99%,11/14/16
9839532,strict,t,t,100%,11/12/15
660036,moderate,t,t,0%,12/24/13
14670800,strict,t,t,40%,7/17/11
16462028,flexible,t,f,100%,7/14/16
10253367,strict,t,t,0%,10/28/13
3812683,strict,t,t,100%,2/6/16
1859867,strict,t,t,100%,3/22/16
3818335,flexible,t,t,100%,9/26/16
15423053,flexible,t,t,0%,10/2/14
5297660,strict,t,t,96%,5/8/12
9709039,strict,t,t,100%,2/15/15
13507714,strict,t,f,50%,1/22/14
9618477,moderate,t,t,100%,1/3/12
13001199,moderate,t,t,100%,11/11/14
10676252,strict,t,f,0%,1/16/17
11987072,moderate,t,t,100%,10/31/12
16973362,moderate,t,t,0%,1/3/13
9408073,moderate,t,t,100%,1/23/14
9102963,moderate,t,f,98%,10/16/13
2519008,strict,t,t,100%,4/10/13
18188653,flexible,t,t,0%,4/6/15
9197404,strict,t,f,0%,4/19/13
8155052,strict,t,t,82%,5/6/13
17775465,strict,t,t,100%,10/14/15
10126823,strict,t,t,100%,1/12/12
17048582,moderate,t,t,0%,9/28/13
7473810,flexible,t,f,0%,11/29/16
19064354,strict,t,t,0%,9/18/14
6718257,strict,t,t,100%,2/28/13
9176785,strict,t,t,100%,6/11/16
13732467,strict,t,t,100%,3/30/14
20902120,moderate,t,f,100%,10/3/16
15410095,strict,t,t,100%,5/18/13
698882,strict,t,f,100%,7/5/17
5783781,flexible,t,f,0%,6/9/16
10839747,flexible,t,t,100%,7/20/15
7618925,moderate,t,t,100%,5/4/14
7734510,flexible,t,f,100%,12/6/16
13699396,strict,t,f,0%,11/13/13
3908406,moderate,t,f,100%,6/25/17
16442548,moderate,t,f,100%,12/12/16
20895982,flexible,t,t,0%,8/23/10
16534337,strict,t,f,100%,4/23/17
8211166,moderate,t,t,100%,2/22/14
20844800,strict,t,f,100%,6/16/17
6901228,strict,t,t,100%,10/13/12
12388347,strict,t,t,0%,5/18/13
14407193,strict,t,f,100%,8/2/11
18478512,strict,t,t,97%,4/16/13
13528281,flexible,t,f,100%,8/12/12
792692,flexible,t,f,0%,12/3/16
18628909,strict,t,t,100%,10/20/15
8926537,flexible,t,t,0%,9/10/14
6607086,strict,t,f,100%,7/31/15
17141233,strict,t,t,100%,5/25/13
13123665,moderate,t,f,100%,12/17/13
13042885,flexible,t,t,0%,5/27/13
17765395,strict,t,t,92%,5/13/10
9924235,strict,t,f,94%,9/16/16
13599334,strict,t,t,100%,10/2/11
5326508,strict,t,t,100%,3/12/16
796099,flexible,t,f,93%,12/19/15
7327090,strict,t,t,100%,4/1/15
621905,flexible,t,t,0%,10/8/14
4813832,flexible,t,t,0%,6/10/15
13766631,strict,t,t,70%,8/24/15
15732638,moderate,t,t,100%,7/29/14
4440008,strict,t,t,99%,5/18/09
16481615,strict,t,f,0%,10/17/12
14776203,moderate,t,t,100%,10/1/12
16734253,strict,t,f,100%,11/4/12
182095,flexible,t,t,100%,12/27/13
8269421,strict,t,t,100%,2/18/15
17782178,moderate,t,f,100%,2/8/12
15088955,moderate,t,t,100%,5/8/14
2426798,flexible,t,f,0%,11/25/15
2514272,strict,t,t,0%,2/18/13
15742996,flexible,t,t,0%,10/14/16
6774866,moderate,t,f,100%,9/24/12
16459114,strict,t,t,80%,3/31/16
2671402,strict,t,t,100%,5/19/12
13452799,strict,t,t,0%,6/2/12
12343793,moderate,t,t,100%,5/22/12
14745842,strict,t,f,100%,1/26/17
11605674,moderate,t,t,95%,4/22/16
1608220,flexible,t,t,70%,10/15/12
2351745,moderate,t,t,100%,8/20/15
16892007,flexible,t,t,100%,5/3/15
14885592,strict,t,t,40%,9/15/14
15999154,strict,t,t,100%,3/10/13
4803244,strict,t,f,99%,4/24/14
13438388,flexible,t,f,29%,10/1/16
8337125,moderate,t,t,99%,11/7/12
953807,flexible,t,f,100%,1/30/16
9982951,strict,t,t,100%,3/3/14
9693080,strict,t,f,100%,5/24/16
8783094,moderate,t,t,0%,9/29/13
8276086,flexible,t,t,100%,9/18/14
16888580,strict,t,t,0%,1/31/14
14840286,strict,t,t,92%,1/12/16
1617477,moderate,t,f,100%,4/15/13
16321275,flexible,t,f,17%,10/2/16
1078402,moderate,t,t,100%,2/4/15
13552346,moderate,t,t,100%,11/16/15
14299472,moderate,t,f,100%,11/11/15
8252058,moderate,t,t,100%,8/8/16
12996761,strict,t,f,100%,6/2/17
1623463,strict,t,f,97%,1/15/17
528357,strict,null,null,0%,null
3411845,strict,t,f,0%,2/16/13
17585689,strict,t,f,100%,7/19/11
11262090,flexible,t,f,0%,6/15/12
13113790,strict,t,f,80%,5/18/16
20031697,flexible,t,t,0%,10/18/13
18220200,flexible,t,f,0%,4/23/16
17750778,strict,t,t,100%,8/14/12
8090999,strict,t,t,0%,3/9/15
14980904,moderate,t,f,100%,12/7/15
17729080,flexible,t,t,0%,8/25/14
18705200,moderate,t,f,100%,9/2/14
19249915,flexible,t,t,90%,1/26/15
14838160,moderate,t,t,100%,10/9/10
18652148,strict,t,t,100%,5/23/15
8195090,flexible,t,t,94%,7/2/14
10102689,moderate,t,t,100%,4/1/14
14303653,strict,t,t,100%,2/5/12
14697976,flexible,t,t,70%,3/6/14
18482476,moderate,t,t,92%,4/20/13
9446874,strict,t,f,100%,8/13/11
6939719,moderate,t,f,0%,7/9/15
9386946,strict,t,f,0%,5/13/17
18802889,flexible,t,f,0%,4/2/17
17734944,flexible,t,f,50%,6/14/13
6195564,strict,t,t,100%,3/10/16
16845669,strict,t,t,100%,8/1/13
12581627,moderate,t,t,0%,1/9/14
16354170,moderate,t,f,100%,2/28/15
9035181,strict,t,f,100%,2/16/17
12174681,moderate,t,t,100%,2/13/14
909096,moderate,t,f,70%,12/16/14
16648673,flexible,t,f,0%,1/9/15
16287129,flexible,t,f,100%,4/3/14
14314252,flexible,t,t,100%,7/21/13
20326257,moderate,t,t,100%,11/3/14
2018602,moderate,t,f,100%,8/2/15
8034692,strict,t,t,100%,3/5/12
15204132,strict,t,t,0%,5/11/13
1198049,moderate,t,f,100%,4/3/16
19159149,strict,t,t,100%,12/16/13
12336640,moderate,t,f,100%,3/9/11
14264536,flexible,t,f,0%,10/3/15
7637047,moderate,t,t,100%,11/14/15
654232,strict,t,f,0%,6/3/15
5985721,strict,t,t,100%,4/3/15
13785444,moderate,t,f,98%,10/16/13
9731479,strict,t,t,100%,5/21/12
6501622,moderate,t,t,100%,11/28/12
21004740,moderate,t,f,100%,7/24/12
5048385,strict,t,t,100%,9/18/14
7206401,strict,t,f,0%,3/23/14
11843770,strict,t,f,0%,7/18/16
18571288,strict,t,f,94%,9/16/16
13682508,flexible,t,t,100%,4/21/17
12704159,moderate,t,t,75%,4/14/13
18197148,moderate,t,t,100%,11/29/11
316079,strict,t,f,100%,5/31/11
13743160,flexible,t,t,90%,1/1/16
7841886,moderate,t,t,100%,6/17/15
14899686,strict,t,f,0%,1/27/13
10555158,moderate,t,t,100%,1/30/16
